Name,Card Type,Attribute
Lucky Punch,Trap Card,Continuous Trap Card
"Longirsu, the Orcust Orchestrator",Monster Card,DARK
Lullaby of Obedience,Spell Card,Normal Spell Card
Lumenize,Trap Card,Normal Trap Card
Lonefire Blossom,Monster Card,FIRE
"Lumina, Twilightsworn Shaman",Monster Card,DARK
Luminous Soldier,Monster Card,LIGHT
Luminous Dragon Ritual,Spell Card,Ritual Spell Card
Lunalight Panther Dancer,Monster Card,DARK
Lunalight Leo Dancer,Monster Card,DARK
Lyrilusc - Assembled Nightingale,Monster Card,WIND
"Lyna the Light Charmer, Lustrous",Monster Card,LIGHT
Lyrilusc - Recital Starling,Monster Card,WIND
Lyrilusc - Promenade Thrush,Monster Card,WIND
Machina Citadel,Monster Card,EARTH
Machina Cannon,Monster Card,EARTH
Machina Fortress,Monster Card,EARTH
Machina Irradiator,Monster Card,EARTH
Machine Assembly Line,Spell Card,Continuous Spell Card
Mad Hacker,Monster Card,DARK
Machina Gearframe,Monster Card,EARTH
Mad Archfiend,Monster Card,DARK
Mad Dog of Darkness,Monster Card,DARK
Macro Cosmos,Trap Card,Continuous Trap Card
Madolche Chateau,Spell Card,Field Spell Card
Madolche Chickolates,Monster Card,EARTH
Madolche Promenade,Trap Card,Normal Trap Card
Madolche Butlerusk,Monster Card,EARTH
Madolche Petingcessoeur,Monster Card,EARTH
Madolche Nights,Trap Card,Counter Trap Card
Madolche Mewfeuille,Monster Card,EARTH
Madolche Messengelato,Monster Card,EARTH
Magic Cylinder,Trap Card,Normal Trap Card
"Magellanica, the Deep Sea City",Spell Card,Field Spell Card
Magic Planter,Spell Card,Normal Spell Card
Magic Hole Golem,Monster Card,DARK
Magic Jammer,Trap Card,Counter Trap Card
Magic Hand,Monster Card,DARK
Magic Gate of Miracles,Spell Card,Normal Spell Card
Magic Formula,Spell Card,Equip Spell Card
Magical Ghost,Monster Card,DARK
Magical Explosion,Trap Card,Normal Trap Card
Magical Hound,Monster Card,EARTH
Magical Marionette,Monster Card,DARK
Magical Mallet,Spell Card,Normal Spell Card
Magical Labyrinth,Spell Card,Equip Spell Card
Magical King Moonstar,Monster Card,DARK
Magical Hats,Trap Card,Normal Trap Card
Magical Musket Mastermind Zakiel,Monster Card,LIGHT
Magical Musket - Steady Hands,Spell Card,Quick-Play Spell Card
Magical Plant Mandragola,Monster Card,DARK
Magical Thorn,Trap Card,Continuous Trap Card
Magical Stone Excavation,Spell Card,Normal Spell Card
Magical Star Illusion,Spell Card,Normal Spell Card
Magical Spring,Spell Card,Quick-Play Spell Card
Magical Something,Monster Card,DARK
Magician's Right Hand,Spell Card,Continuous Spell Card
Magician's Restage,Spell Card,Continuous Spell Card
Magicore Warrior of the Relics,Monster Card,FIRE
Magicians' Souls,Monster Card,DARK
Magicians' Defense,Trap Card,Continuous Trap Card
Magicians' Combination,Trap Card,Continuous Trap Card
Magician's Valkyria,Monster Card,LIGHT
Magician's Salvation,Spell Card,Field Spell Card
Magicians Unite,Spell Card,Normal Spell Card
Magician's Rod,Monster Card,DARK
Magician's Robe,Monster Card,DARK
Magician's Left Hand,Spell Card,Continuous Spell Card
Magician of Hope,Monster Card,LIGHT
Magician's Circle,Trap Card,Normal Trap Card
Magician of Faith,Monster Card,LIGHT
Magician of Dark Illusion,Monster Card,DARK
Magician of Chaos,Monster Card,DARK
Magician of Black Chaos MAX,Monster Card,DARK
Magician of Black Chaos,Monster Card,DARK
Magician Navigation,Trap Card,Normal Trap Card
Magicat,Monster Card,LIGHT
Magicalized Fusion,Spell Card,Normal Spell Card
Magidog,Monster Card,LIGHT
Magicalized Duston Mop,Spell Card,Equip Spell Card
Magicalibra,Monster Card,WATER
Magistery Alchemist,Trap Card,Normal Trap Card
Magister of Endymion,Monster Card,EARTH
Maginificent Magikey Mafteal,Monster Card,LIGHT
Magikey World,Spell Card,Field Spell Card
Magikuriboh,Monster Card,DARK
Magnet Induction,Spell Card,Normal Spell Card
Magnet Conversion,Trap Card,Normal Trap Card
Magnet Force,Trap Card,Normal Trap Card
Majespecter Sonics,Spell Card,Quick-Play Spell Card
Majespecter Raccoon - Bunbuku,Monster Card,WIND
Majespecter Cyclone,Spell Card,Quick-Play Spell Card
Majespecter Fox - Kyubi,Monster Card,WIND
Majespecter Gust,Trap Card,Normal Trap Card
Majespecter Tornado,Trap Card,Normal Trap Card
"Majester Paladin, the Ascending Dracoslayer",Monster Card,WIND
Majespecter Unicorn - Kirin,Monster Card,WIND
"Malacoda, Netherlord of the Burning Abyss",Monster Card,DARK
"Makiu, the Magical Mist",Spell Card,Normal Spell Card
Maju Garzett,Monster Card,DARK
A Major Upset,Trap Card,Normal Trap Card
Makyura the Destructor,Monster Card,DARK
Malefic Divide,Spell Card,Quick-Play Spell Card
Malefic Claw Stream,Trap Card,Normal Trap Card
Malefic Cyber End Dragon,Monster Card,DARK
Malicevorous Spoon,Monster Card,DARK
Mammoth Graveyard,Monster Card,EARTH
Mamemaki,Trap Card,Normal Trap Card
Manticore of Darkness,Monster Card,FIRE
Malicevorous Knife,Monster Card,DARK
Manju of the Ten Thousand Hands,Monster Card,LIGHT
March of the Dark Brigade,Spell Card,Normal Spell Card
March of the Monarchs,Spell Card,Continuous Spell Card
Masked HERO Acid,Monster Card,WATER
Masked Chopper,Monster Card,EARTH
Masked Dragon,Monster Card,FIRE
"Master Peace, the True Dracoslaying King",Monster Card,LIGHT
"Master Peace, the True Dracoslayer",Monster Card,LIGHT
Master of the Flaming Dragonswords,Monster Card,FIRE
Master Monk,Monster Card,EARTH
Master of Oz,Monster Card,EARTH
Master Kyonshee,Monster Card,EARTH
Master Hyperion,Monster Card,LIGHT
Master Gig,Monster Card,EARTH
Master Craftsman Gamil,Monster Card,FIRE
Master & Expert,Monster Card,EARTH
Mass Hypnosis,Trap Card,Continuous Trap Card
Massivemorph,Trap Card,Normal Trap Card
Mass Driver,Spell Card,Continuous Spell Card
Masquerade the Blazing Dragon,Monster Card,DARK
Masked Sorcerer,Monster Card,DARK
Masked Ninja Ebisu,Monster Card,WIND
Masked HERO Vapor,Monster Card,WATER
Masked HERO Koga,Monster Card,LIGHT
Masked HERO Goka,Monster Card,FIRE
"Master Pendulum, the Dracoslayer",Monster Card,LIGHT
Materiactor Gigadra,Monster Card,DARK
Materiactor Gigaboros,Monster Card,DARK
Mathmech Subtraction,Monster Card,FIRE
Mathmech Sigma,Monster Card,LIGHT
Mathmech Nabla,Monster Card,DARK
Mayosenju Daibak,Monster Card,WIND
Mayhem Fur Hire,Spell Card,Quick-Play Spell Card
Mecha Phantom Beast Auroradon,Monster Card,WIND
Mayakashi Mayhem,Trap Card,Continuous Trap Card
Mecha Phantom Beast Aerosguin,Monster Card,WIND
Mecha Phantom Beast Harrliard,Monster Card,WIND
Mecha Phantom Beast Hamstrat,Monster Card,WIND
Mecha Phantom Beast Dracossack,Monster Card,WIND
Mechanical Snail,Monster Card,DARK
Mechanical Hound,Monster Card,EARTH
Mega Ton Magical Cannon,Spell Card,Normal Spell Card
Mecha Phantom Beast Stealthray,Monster Card,WIND
Mega Thunderball,Monster Card,WIND
Megalith Och,Monster Card,EARTH
Megalith Hagith,Monster Card,EARTH
Megalith Emergence,Trap Card,Continuous Trap Card
Mekk-Knight of the Morning Star,Monster Card,LIGHT
Megarock Dragon,Monster Card,EARTH
Mekk-Knight Purple Nightfall,Monster Card,LIGHT
Megaroid City,Spell Card,Field Spell Card
Mekk-Knight Orange Sunset,Monster Card,LIGHT
Meklord Emperor Wisel - Synchro Absorption,Monster Card,DARK
Meklord Emperor Wisel,Monster Card,DARK
Meklord Emperor Skiel,Monster Card,WIND
Memories of Hope,Spell Card,Normal Spell Card
Merlin,Monster Card,DARK
Merciful Machine Angel,Spell Card,Normal Spell Card
Meowseclick,Monster Card,EARTH
Meotoko,Monster Card,EARTH
Mermail Abysshilde,Monster Card,WATER
Mermail Abyssgunde,Monster Card,WATER
Mermail Abyssteus,Monster Card,WATER
Metal Detector,Trap Card,Normal Trap Card
Metal Dragon,Monster Card,WIND
Metal Armored Bug,Monster Card,EARTH
"Metaion, the Timelord",Monster Card,FIRE
Metabo-Shark,Monster Card,WATER
Metalfoes Mithrilium,Monster Card,FIRE
Metalfoes Goldriver,Monster Card,FIRE
Metalfoes Volflame,Monster Card,FIRE
Metalzoa,Monster Card,DARK
"Metaltron XII, the True Dracombatant",Monster Card,LIGHT
Metalsilver Armor,Spell Card,Equip Spell Card
Metalrokket Dragon,Monster Card,DARK
Metalmorph,Trap Card,Normal Trap Card
Metallizing Parasite - Soltite,Monster Card,WATER
Metallizing Parasite - Lunatite,Monster Card,WATER
Metalhold the Moving Blockade,Trap Card,Continuous Trap Card
Metalfoes Vanisher,Monster Card,FIRE
Metalfoes Steelen,Monster Card,FIRE
Metalfoes Silverd,Monster Card,FIRE
Metalfoes Orichalc,Monster Card,FIRE
Metalfoes Fusion,Spell Card,Normal Spell Card
Metalfoes Crimsonite,Monster Card,FIRE
Metalfoes Counter,Trap Card,Normal Trap Card
Metal Guardian,Monster Card,DARK
Metal Fish,Monster Card,WATER
Metabo Globster,Monster Card,DARK
Metalfoes Combination,Trap Card,Continuous Trap Card
Metalfoes Adamante,Monster Card,FIRE
Metal Shooter,Monster Card,LIGHT
Metal Reflect Slime,Trap Card,Continuous Trap Card
Messenger of Peace,Spell Card,Continuous Spell Card
Metamorformation,Spell Card,Field Spell Card
Mesmeric Control,Spell Card,Normal Spell Card
Mermail Abyssturge,Monster Card,WATER
Metaphys Daedalus,Monster Card,LIGHT
Metaphys Ascension,Trap Card,Normal Trap Card
Metaphys Armed Dragon,Monster Card,LIGHT
Message in a Bottle,Spell Card,Normal Spell Card
Metaphys Tyrant Dragon,Monster Card,LIGHT
Mighty Guard,Monster Card,EARTH
Mild Turkey,Monster Card,FIRE
Micro Ray,Trap Card,Normal Trap Card
Micro Coder,Monster Card,DARK
Mid Shield Gardna,Monster Card,EARTH
Mikazukinoyaiba,Monster Card,DARK
Millennium Seeker,Monster Card,DARK
Mighty Warrior,Monster Card,EARTH
Mine Golem,Monster Card,EARTH
Mind Trust,Spell Card,Normal Spell Card
Mind Scan (Skill Card),,
Mind Wipe,Spell Card,Quick-Play Spell Card
Mine Mole,Monster Card,EARTH
Mini-Guts,Spell Card,Normal Spell Card
Mind Pollutant,Spell Card,Normal Spell Card
Mind Protector,Monster Card,LIGHT
Morphtronic Cameran,Monster Card,LIGHT
Morphtronic Accelerator,Spell Card,Normal Spell Card
Morphtronic Boomboxen,Monster Card,EARTH
Morphtronic Bind,Trap Card,Continuous Trap Card
Morphtronic Boarden,Monster Card,EARTH
Morphtransition,Trap Card,Normal Trap Card
Morpho Butterspy,Monster Card,DARK
Morphing Jar 2,Monster Card,EARTH
"Morpheus, the Dream Mirror White Knight",Monster Card,LIGHT
Morph King Stygi-Gel,Monster Card,DARK
"Morpheus, the Dream Mirror Black Knight",Monster Card,DARK
Mormolith,Monster Card,EARTH
Morphing Jar,Monster Card,EARTH
Morinphen,Monster Card,DARK
"Morgan, the Enchantress of Avalon",Monster Card,DARK
Mordschlag,Spell Card,Equip Spell Card
Moon Mirror Shield,Spell Card,Equip Spell Card
Moray of Greed,Spell Card,Normal Spell Card
Morale Boost,Spell Card,Continuous Spell Card
Mooyan Curry,Spell Card,Normal Spell Card
Moonlit Papillon,Monster Card,LIGHT
Morphtronic Monitron,Trap Card,Continuous Trap Card
Morphtronic Mix-up,Trap Card,Normal Trap Card
Muka Muka,Monster Card,EARTH
Mudragon of the Swamp,Monster Card,WATER
Mudora,Monster Card,EARTH
Muddy Mudragon,Monster Card,DARK
Mudan the Rikka Fairy,Monster Card,WATER
Mucus Yolk,Monster Card,DARK
Mysterion the Dragon Crown,Monster Card,LIGHT
My Body as a Shield,Spell Card,Quick-Play Spell Card
Mystic Swordsman LV6,Monster Card,EARTH
Mystic Swordsman LV4,Monster Card,EARTH
Mystic Swordsman LV2,Monster Card,EARTH
Mystic Probe,Trap Card,Normal Trap Card
Mystic Tomato,Monster Card,DARK
Mystical Beast of Serket,Monster Card,EARTH
Mythic Tree Dragon,Monster Card,EARTH
Mythic Depths,,
Myutant Blast,Spell Card,Equip Spell Card
Mythical Institution,Spell Card,Continuous Spell Card
Myutant Clash,Trap Card,Continuous Trap Card
Myutant Beast,Monster Card,EARTH
Myutant Arsenal,Monster Card,FIRE
Mythical Bestiary,Spell Card,Quick-Play Spell Card
"Naglfar, Generaider Boss of Fire",Monster Card,FIRE
Nanobreaker,Monster Card,EARTH
Naturia Guardian,Monster Card,EARTH
Naturia Horneedle,Monster Card,EARTH
Naturia Gaiastrio,Monster Card,EARTH
Naturia Forest,Spell Card,Field Spell Card
Naturia Stag Beetle,Monster Card,EARTH
Needlebug Nest,Trap Card,Normal Trap Card
Needle Worm,Monster Card,EARTH
Naturia Fruitfly,Monster Card,EARTH
"Neiroy, the Dream Mirror Disciple",Monster Card,LIGHT
Nehshaddoll Genius,Monster Card,EARTH
Neko Mane King,Monster Card,EARTH
Nekogal 1,Monster Card,EARTH
"Neiroy, the Dream Mirror Traitor",Monster Card,DARK
Nega-Ton Corepanel,Trap Card,Counter Trap Card
Negate Attack,Trap Card,Counter Trap Card
Nefarious Archfiend Eater of Nefariousness,Monster Card,EARTH
Needle Sunfish,Monster Card,WATER
Needle Soldier,Monster Card,EARTH
Needle Ceiling,Trap Card,Normal Trap Card
Needle Burrower,Monster Card,DARK
Needle Ball,Monster Card,DARK
Needle Wall,Trap Card,Continuous Trap Card
Necroworld Banshee,Monster Card,DARK
Necrovalley Throne,Spell Card,Normal Spell Card
Necrovalley Temple,Trap Card,Continuous Trap Card
Necrovalley,Spell Card,Field Spell Card
Necroquip Prism,Spell Card,Normal Spell Card
Necrolancer the Time-lord,Monster Card,DARK
Necroid Synchro,Spell Card,Normal Spell Card
Necroface,Monster Card,DARK
Necro Synchron,Monster Card,DARK
Nekogal 2,Monster Card,EARTH
Necro Linker,Monster Card,DARK
Necro Gardna,Monster Card,DARK
Necro Fusion,Trap Card,Normal Trap Card
Nekroz of Clausolas,Monster Card,WATER
Nekroz of Catastor,Monster Card,WATER
Nekroz of Brionac,Monster Card,WATER
Neo Flamvell Lady,Monster Card,FIRE
Neo-Spacian Air Hummingbird,Monster Card,WIND
Neo the Magic Swordsman,Monster Card,LIGHT
"Neo-Parshath, the Sky Paladin",Monster Card,LIGHT
Neo Super Quantal Mech King Blaster Magna,Monster Card,LIGHT
Neos Fusion,Spell Card,Normal Spell Card
Neos Force,Spell Card,Equip Spell Card
Network Trap Hole,Trap Card,Normal Trap Card
Neos Wiseman,Monster Card,LIGHT
Night's End Sorcerer,Monster Card,DARK
Night's End Administrator,Monster Card,LIGHT
Night Wing Sorceress,Monster Card,WIND
Nine-Tailed Fox,Monster Card,FIRE
Nimble Beaver,Monster Card,WATER
Ningirsu the World Chalice Warrior,Monster Card,EARTH
Noh-P.U.N.K. Ze Amin,Monster Card,EARTH
Nine-Lives Cat,Monster Card,EARTH
Number 39: Utopia Beyond,Monster Card,LIGHT
Number 39: Utopia,Monster Card,LIGHT
Number 38: Hope Harbinger Dragon Titanic Galaxy,Monster Card,LIGHT
Number 37: Hope Woven Dragon Spider Shark,Monster Card,WATER
Number 36: Chronomaly Chateau Huyuk,Monster Card,LIGHT
Number 35: Ravenous Tarantula,Monster Card,DARK
Number 34: Terror-Byte,Monster Card,DARK
Number 33: Chronomaly Machu Mech,Monster Card,LIGHT
Number 32: Shark Drake,Monster Card,WATER
Number 31: Embodiment of Punishment,Monster Card,DARK
Number 30: Acid Golem of Destruction,Monster Card,WATER
Number 29: Mannequin Cat,Monster Card,LIGHT
Number 28: Titanic Moth,Monster Card,FIRE
Number 27: Dreadnought Dreadnoid,Monster Card,WATER
Number 26: Spaceway Octobypass,Monster Card,LIGHT
Number 25: Force Focus,Monster Card,LIGHT
Number 24: Dragulas the Vampiric Dragon,Monster Card,DARK
"Number 23: Lancelot, Dark Knight of the Underworld",Monster Card,DARK
Number 22: Zombiestein,Monster Card,DARK
Number 21: Frozen Lady Justice,Monster Card,WATER
Number 39: Utopia Double,Monster Card,LIGHT
Number 44: Sky Pegasus,Monster Card,LIGHT
Number 43: Manipulator of Souls,Monster Card,DARK
Number 51: Finisher the Strong Arm,Monster Card,EARTH
Number 59: Crooked Cook,Monster Card,FIRE
Number 58: Burner Visor,Monster Card,FIRE
Number 57: Tri-Head Dust Dragon,Monster Card,FIRE
Number 56: Gold Rat,Monster Card,LIGHT
Number 71: Rebarian Shark,Monster Card,WATER
Number 65: Djinn Buster,Monster Card,DARK
Number 70: Malevolent Sin,Monster Card,DARK
Number 98: Antitopian,Monster Card,DARK
Number 84: Pain Gainer,Monster Card,DARK
Number 97: Draglubion,Monster Card,DARK
Number 96: Dark Mist,Monster Card,DARK
Number 95: Galaxy-Eyes Dark Matter Dragon,Monster Card,DARK
Number C88: Gimmick Puppet Disaster Leo,Monster Card,DARK
Ominous Fortunetelling,Trap Card,Continuous Trap Card
Omega Summon,Trap Card,Normal Trap Card
Old Vindictive Magician,Monster Card,DARK
Omega Goggles,Spell Card,Equip Spell Card
Old Mind,Spell Card,Normal Spell Card
Old Entity Hastorr,Monster Card,WIND
Old Entity Cthugua,Monster Card,FIRE
Ojamuscle,Spell Card,Normal Spell Card
Ojamatch,Spell Card,Quick-Play Spell Card
Ojamassimilation,Spell Card,Normal Spell Card
Ojamagic,Spell Card,Normal Spell Card
Ojama Yellow,Monster Card,LIGHT
Ojama Trio,Trap Card,Normal Trap Card
Ojama Red,Monster Card,LIGHT
Ojama Pink,Monster Card,LIGHT
Ojama Pajama,Trap Card,Continuous Trap Card
Omni Dragon Brotaur,Monster Card,DARK
One-Eyed Skill Gainer,Monster Card,LIGHT
One-Eyed Shield Dragon,Monster Card,WIND
One or Eight,Trap Card,Normal Trap Card
One for One,Spell Card,Normal Spell Card
One-Kuri-Way,Spell Card,Normal Spell Card
Onslaught of the Fire Kings,Spell Card,Normal Spell Card
Onomatopickup,Spell Card,Continuous Spell Card
Oppressed People,Monster Card,WATER
Orca Mega-Fortress of Darkness,Monster Card,WATER
Orbital Hydralander,Monster Card,DARK
Orbital Bombardment,Trap Card,Normal Trap Card
Orbital 7 (card),Monster Card,LIGHT
Orb of Yasaka,Spell Card,Equip Spell Card
Orcustrated Babel,Spell Card,Field Spell Card
Outer Entity Nyarla,Monster Card,EARTH
Orcustrated Attack,Trap Card,Normal Trap Card
Overflow Dragon,Monster Card,DARK
Overdrive Teleporter,Monster Card,LIGHT
Overdrive,Monster Card,EARTH
Overdoom Line,Trap Card,Continuous Trap Card
Overwhelm,Trap Card,Counter Trap Card
Overtex Qoatlus,Monster Card,DARK
Oyster Meister,Monster Card,WATER
Painful Decision,Spell Card,Normal Spell Card
Paladin of Photon Dragon,Monster Card,LIGHT
Paladin of Felgrand,Monster Card,LIGHT
Paladin of Dark Dragon,Monster Card,DARK
Palace of the Elemental Lords,Spell Card,Field Spell Card
Paleozoic Dinomischus,Trap Card,Normal Trap Card
Paleozoic Canadia,Trap Card,Normal Trap Card
Parallel eXceed,Monster Card,WIND
Paradox Fusion,Trap Card,Counter Trap Card
Parametalfoes Melcaster,Monster Card,FIRE
Parametalfoes Fusion,Spell Card,Normal Spell Card
Parametalfoes Azortless,Monster Card,FIRE
Paralyzing Potion,Spell Card,Equip Spell Card
Parry Knights,Monster Card,EARTH
Parry,Trap Card,Counter Trap Card
Pendransaction,Monster Card,WATER
Pendulum Hole,Trap Card,Counter Trap Card
Pendulum Fusion,Spell Card,Normal Spell Card
Pendulum Encore,Trap Card,Normal Trap Card
Pendulum Dimension (card),Trap Card,Continuous Trap Card
Pendulum Xyz,Spell Card,Normal Spell Card
Pendulum Treasure,Spell Card,Normal Spell Card
Pendulum Halt,Spell Card,Normal Spell Card
Penguin Torpedo,Monster Card,WATER
Penguin Sword,Spell Card,Equip Spell Card
Penguin Squire,Monster Card,WATER
Penguin Ninja,Monster Card,WATER
Penguin Knight,Monster Card,WATER
Penguin Cleric,Monster Card,WATER
Penguin Soldier,Monster Card,WATER
Pendulum Switch,Trap Card,Continuous Trap Card
Pendulum Storm,Spell Card,Normal Spell Card
Pendulum Shift,Spell Card,Quick-Play Spell Card
Penguin Brave,Monster Card,WATER
Pendulumucho,Monster Card,EARTH
Pendulum Transfer,Spell Card,Normal Spell Card
Pendulum Rising,Spell Card,Normal Spell Card
Pendulum Reborn,Trap Card,Normal Trap Card
Pendulum Impenetrable,Spell Card,Quick-Play Spell Card
Pendulum Call,Spell Card,Normal Spell Card
Penalty Game!,Trap Card,Normal Trap Card
Pendulum Area,Trap Card,Normal Trap Card
Pendulum Paradox,Spell Card,Normal Spell Card
Pendulum Machine,Monster Card,DARK
Pegasus Wing,Spell Card,Normal Spell Card
Pendulum Back,Trap Card,Normal Trap Card
Perfect Machine King,Monster Card,EARTH
People Running About,Monster Card,FIRE
Perfect Sync - A-Un,Spell Card,Field Spell Card
Perditious Puppeteer,Monster Card,DARK
Pentestag,Monster Card,DARK
Penumbral Soldier Lady,Monster Card,DARK
Perfectly Ultimate Great Moth,Monster Card,EARTH
Pennant of Revolution,Trap Card,Continuous Trap Card
Performapal Radish Horse,Monster Card,EARTH
Performapal Sellshell Crab,Monster Card,WATER
Performapal Popperup,Spell Card,Normal Spell Card
Performapal Rain Goat,Monster Card,WATER
Performapal Pinch Helper,Trap Card,Continuous Trap Card
Performapal Show Down,Trap Card,Normal Trap Card
Performapal Secondonkey,Monster Card,EARTH
Performapal Turn Toad,Monster Card,WATER
Phantasm Spiral Assault,Trap Card,Normal Trap Card
Phantasmal Martyr Token,Monster Card,DARK
Phantasmal Lord Ultimitl Bishbaalkin,Monster Card,DARK
Phantasm Token,Monster Card,DARK
Phantasm Spiral Wave,Spell Card,Equip Spell Card
Phantasm Spiral Power,Trap Card,Normal Trap Card
Phantom Beast Wild-Horn,Monster Card,EARTH
Phantom Beast Thunder-Pegasus,Monster Card,LIGHT
The Phantom Knights of Stained Greaves,Monster Card,DARK
The Phantom Knights of Silent Boots,Monster Card,DARK
The Phantom Knights of Shadow Veil,Trap Card,Normal Trap Card
The Phantom Knights of Rusty Bardiche,Monster Card,DARK
The Phantom Knights of Shade Brigandine,Trap Card,Normal Trap Card
The Phantom Knights of Ragged Gloves,Monster Card,DARK
Phantom Skyblaster,Monster Card,DARK
Phantom of Chaos,Monster Card,DARK
Photon Orbital,Monster Card,LIGHT
Photon Lizard,Monster Card,LIGHT
Photon Leo,Monster Card,LIGHT
Photon Lead,Spell Card,Quick-Play Spell Card
Photon Papilloperative,Monster Card,LIGHT
Photon Hand,Spell Card,Normal Spell Card
Photon Generator Unit,Spell Card,Quick-Play Spell Card
Photon Crusher,Monster Card,LIGHT
Photon Circle,Monster Card,LIGHT
Photon Chargeman,Monster Card,LIGHT
Photon Current,Trap Card,Normal Trap Card
Photon Change,Trap Card,Continuous Trap Card
Photon Booster,Spell Card,Normal Spell Card
Photon Cerberus,Monster Card,LIGHT
Photon Caesar,Monster Card,LIGHT
Phosphorage the Elemental Lord,Monster Card,LIGHT
Phoenixian Seed,Monster Card,FIRE
Photon Alexandra Queen,Monster Card,LIGHT
Photon Advancer,Monster Card,LIGHT
Phoenixian Cluster Amaryllis,Monster Card,FIRE
Phoenix Wing Wind Blast,Trap Card,Normal Trap Card
Phonon Pulse Dragon,Monster Card,DARK
Phoenix Gearfried,Monster Card,FIRE
Photon Strike Bounzer,Monster Card,LIGHT
Photon Pirate,Monster Card,LIGHT
Pharaonic Protector,Monster Card,EARTH
Photon Stream of Destruction,Spell Card,Quick-Play Spell Card
Pikari @Ignister,Monster Card,LIGHT
Phoenix Beast Gairuda,Monster Card,WIND
Photon Thrasher,Monster Card,LIGHT
Piercing the Darkness,Spell Card,Continuous Spell Card
Pinpoint Dash,Trap Card,Normal Trap Card
Pixie Knight,Monster Card,LIGHT
Piwraithe the Ghost Pirate,Monster Card,WATER
Pitch-Dark Dragon,Monster Card,DARK
Pitch-Black Warwolf,Monster Card,DARK
Plant Food Chain,Trap Card,Normal Trap Card
Planet Pollutant Virus,Trap Card,Normal Trap Card
Possessed Dark Soul,Monster Card,DARK
Poison of the Old Man,Spell Card,Quick-Play Spell Card
Poseidon Wave,Trap Card,Normal Trap Card
"Poseidra, the Atlantean Dragon",Monster Card,WATER
Pop-Up,Spell Card,Quick-Play Spell Card
Polymerization (Fusion),Spell Card,Normal Spell Card
The Portrait's Secret,Monster Card,EARTH
Polymerization,Spell Card,Normal Spell Card
Power Frame,Trap Card,Normal Trap Card
Power Capsule,Spell Card,Normal Spell Card
Power Filter,Spell Card,Continuous Spell Card
Power Breaker,Monster Card,EARTH
Power Invader,Monster Card,DARK
Power of Dark,,
Power Injector,Monster Card,EARTH
Power Giant,Monster Card,EARTH
Prank-Kids Meow-Meow-Mu,Monster Card,EARTH
Prank-Kids Fansies,Monster Card,WIND
Prank-Kids Dropsies,Monster Card,WATER
Prank-Kids Bow-Wow-Bark,Monster Card,FIRE
Prank-Kids Dodo-Doodle-Doo,Monster Card,WIND
Prank-Kids Battle Butler,Monster Card,WIND
Pragtical,Monster Card,EARTH
Prank-Kids Lampsies,Monster Card,FIRE
Predaplant Darlingtonia Cobra,Monster Card,DARK
Precious Cards from Beyond,Spell Card,Continuous Spell Card
Predaplant Cordyceps,Monster Card,DARK
Predaplant Chlamydosundew,Monster Card,DARK
Predaplant Chimerafflesia,Monster Card,DARK
Predaplant Banksiogre,Monster Card,DARK
Predaplanning,Trap Card,Normal Trap Card
Predaplanet,Trap Card,Continuous Trap Card
Prediction Princess Arrowsylph,Monster Card,WIND
Predapruning,Spell Card,Equip Spell Card
Predaprime Fusion,Spell Card,Quick-Play Spell Card
Predapractice,Spell Card,Normal Spell Card
Predaponics,Spell Card,Continuous Spell Card
Predaplast,Spell Card,Quick-Play Spell Card
Predaplant Verte Anaconda,Monster Card,DARK
Predaplant Triphyoverutum,Monster Card,DARK
Prohibition,Spell Card,Continuous Spell Card
Prior of the Ice Barrier,Monster Card,WATER
Progleo,Monster Card,LIGHT
Prisman,Monster Card,LIGHT
Prinzessin,Monster Card,LIGHT
Princess Pikeru,Monster Card,LIGHT
Princess of Tsurugi,Monster Card,WIND
Prohibit Snake,Monster Card,LIGHT
Primordial Soup,Spell Card,Continuous Spell Card
"Prometheus, King of the Shadows",Monster Card,DARK
"Prometeor, the Burning Star",Monster Card,FIRE
Prologue of the Destruction Swordsman,Trap Card,Normal Trap Card
Princess Cologne (card),Monster Card,LIGHT
Primula the Rikka Fairy,Monster Card,WATER
Princess Curran,Monster Card,DARK
Primitive Butterfly,Monster Card,WIND
Primineral Mandstrong,Monster Card,EARTH
Primineral Kongreat,Monster Card,EARTH
The Prime Monarch,Trap Card,Continuous Trap Card
Prime Material Falcon,Monster Card,WIND
Prime Material Dragon,Monster Card,LIGHT
Primathmech Laplacian,Monster Card,EARTH
Primathmech Alembertian,Monster Card,EARTH
Primal Cry,Spell Card,Ritual Spell Card
Primal Being Token,Monster Card,LIGHT
Pride of the Weak,Spell Card,Continuous Spell Card
Priestess with Eyes of Blue,Monster Card,LIGHT
Pride of the Plunder Patroll,Trap Card,Continuous Trap Card
Prickle Fairy,Monster Card,EARTH
Primal Seed,Spell Card,Normal Spell Card
Prideful Roar,Trap Card,Normal Trap Card
Protector with Eyes of Blue,Monster Card,LIGHT
Proto-Cyber Dragon,Monster Card,LIGHT
Protocol Gardna,Monster Card,DARK
Proton Blast,Trap Card,Continuous Trap Card
Protector Whelp of the Destruction Swordsman,Monster Card,LIGHT
Psi-Curse,Trap Card,Normal Trap Card
Protector of the Throne,Monster Card,EARTH
Psi-Impulse,Spell Card,Normal Spell Card
Punished Eagle,Monster Card,WIND
